Date,Order_id,Product
01/01/18,1,yogurt
01/01/18,1,pork
01/01/18,1,sandwich bags
01/01/18,1,lunch meat
01/01/18,1,all- purpose
01/01/18,1,flour
01/01/18,1,soda
01/01/18,1,butter
01/01/18,1,beef
01/01/18,1,aluminum foil
01/01/18,1,all- purpose
01/01/18,1,dinner rolls
01/01/18,1,shampoo
01/01/18,1,all- purpose
01/01/18,1,mixes
01/01/18,1,soap
01/01/18,1,laundry detergent
01/01/18,1,ice cream
01/01/18,1,dinner rolls
01/01/18,2,toilet paper
01/01/18,2,shampoo
01/01/18,2,hand soap
01/01/18,2,waffles
01/01/18,2,cheeses
01/01/18,2,mixes
01/01/18,2,milk
01/01/18,2,sandwich bags
01/01/18,2,laundry detergent
01/01/18,2,dishwashing liquid/detergent
01/01/18,2,waffles
01/01/18,2,individual meals
01/01/18,2,hand soap
01/01/18,2,individual meals
01/01/18,2,yogurt
01/01/18,2,cereals
01/01/18,2,shampoo
01/01/18,2,aluminum foil
01/01/18,2,tortillas
01/01/18,2,mixes
02/01/18,3,soda
02/01/18,3,pork
02/01/18,3,soap
02/01/18,3,ice cream
02/01/18,3,toilet paper
02/01/18,3,dinner rolls
02/01/18,3,hand soap
02/01/18,3,spaghetti sauce
02/01/18,3,milk
02/01/18,3,ketchup
02/01/18,3,sandwich loaves
02/01/18,3,poultry
02/01/18,3,toilet paper
02/01/18,3,ice cream
02/01/18,3,ketchup
02/01/18,3,laundry detergent
02/01/18,3,spaghetti sauce
02/01/18,3,bagels
02/01/18,3,soap
02/01/18,3,ice cream
02/01/18,3,shampoo
02/01/18,3,lunch meat
02/01/18,3,cereals
02/01/18,3,spaghetti sauce
02/01/18,3,pork
02/01/18,3,cheeses
02/01/18,3,eggs
02/01/18,4,cereals
02/01/18,4,juice
02/01/18,4,lunch meat
02/01/18,4,soda
02/01/18,4,toilet paper
02/01/18,4,all- purpose
02/01/18,5,sandwich loaves
02/01/18,5,pasta
02/01/18,5,tortillas
02/01/18,5,mixes
02/01/18,5,hand soap
02/01/18,5,toilet paper
02/01/18,5,paper towels
02/01/18,5,flour
02/01/18,5,pork
02/01/18,5,poultry
02/01/18,5,eggs
02/01/18,5,pork
02/01/18,5,spaghetti sauce
02/01/18,5,milk
02/01/18,5,waffles
02/01/18,5,individual meals
02/01/18,5,dinner rolls
02/01/18,5,all- purpose
02/01/18,5,soda
02/01/18,5,yogurt
02/01/18,6,laundry detergent
02/01/18,6,toilet paper
02/01/18,6,eggs
02/01/18,6,toilet paper
02/01/18,6,bagels
02/01/18,6,dishwashing liquid/detergent
02/01/18,6,cereals
02/01/18,6,paper towels
02/01/18,6,laundry detergent
02/01/18,6,butter
02/01/18,6,cereals
02/01/18,6,bagels
02/01/18,6,paper towels
02/01/18,6,shampoo
02/01/18,6,toilet paper
02/01/18,6,soap
02/01/18,6,soap
02/01/18,6,pasta
02/01/18,6,coffee/tea
02/01/18,6,poultry
02/01/18,6,bagels
02/01/18,6,aluminum foil
02/01/18,6,butter
02/01/18,6,spaghetti sauce
02/01/18,6,ketchup
02/01/18,6,all- purpose
02/01/18,6,milk
03/01/18,7,individual meals
03/01/18,7,paper towels
03/01/18,7,tortillas
03/01/18,7,milk
03/01/18,7,ice cream
03/01/18,7,juice
03/01/18,7,dishwashing liquid/detergent
03/01/18,7,soap
03/01/18,7,sandwich bags
03/01/18,7,pasta
03/01/18,7,ketchup
03/01/18,7,all- purpose
03/01/18,7,yogurt
03/01/18,7,mixes
03/01/18,7,mixes
03/01/18,7,toilet paper
03/01/18,7,beef
03/01/18,7,sandwich bags
03/01/18,7,eggs
03/01/18,7,spaghetti sauce
03/01/18,7,fruits
03/01/18,7,toilet paper
04/01/18,8,ice cream
04/01/18,8,juice
04/01/18,8,paper towels
04/01/18,8,waffles
04/01/18,8,soda
04/01/18,8,cheeses
04/01/18,8,poultry
04/01/18,8,toilet paper
04/01/18,9,juice
04/01/18,9,poultry
04/01/18,9,coffee/tea
04/01/18,9,coffee/tea
04/01/18,9,dishwashing liquid/detergent
05/01/18,10,ketchup
05/01/18,10,coffee/tea
05/01/18,10,toilet paper
05/01/18,10,pork
05/01/18,10,flour
05/01/18,10,milk
05/01/18,10,soda
05/01/18,10,dishwashing liquid/detergent
05/01/18,10,eggs
05/01/18,10,tortillas
05/01/18,10,tortillas
05/01/18,10,fruits
05/01/18,10,sugar
05/01/18,10,soap
05/01/18,10,dishwashing liquid/detergent
05/01/18,10,juice
05/01/18,10,sandwich loaves
05/01/18,10,poultry
05/01/18,10,eggs
05/01/18,10,flour
05/01/18,10,bagels
05/01/18,10,soda
05/01/18,10,bagels
05/01/18,10,soda
05/01/18,10,beef
05/01/18,10,coffee/tea
05/01/18,10,dishwashing liquid/detergent
05/01/18,10,cheeses
05/01/18,10,beef
05/01/18,10,soap
05/01/18,10,lunch meat
05/01/18,10,pork
05/01/18,10,waffles
05/01/18,11,sandwich loaves
05/01/18,11,ice cream
05/01/18,11,soda
05/01/18,11,bagels
05/01/18,11,dishwashing liquid/detergent
05/01/18,11,eggs
05/01/18,11,sugar
05/01/18,11,waffles
05/01/18,11,individual meals
05/01/18,11,toilet paper
05/01/18,11,pasta
05/01/18,11,sandwich loaves
05/01/18,11,cheeses
05/01/18,11,hand soap
05/01/18,11,ketchup
05/01/18,11,poultry
05/01/18,11,dinner rolls
05/01/18,11,dishwashing liquid/detergent
05/01/18,11,coffee/tea
05/01/18,11,milk
05/01/18,11,shampoo
05/01/18,11,ketchup
05/01/18,11,sandwich loaves
05/01/18,11,hand soap
05/01/18,11,bagels
05/01/18,11,flour
05/01/18,11,pork
06/01/18,12,pork
06/01/18,12,tortillas
06/01/18,12,pork
06/01/18,12,shampoo
06/01/18,12,lunch meat
06/01/18,12,pasta
06/01/18,12,juice
06/01/18,12,bagels
06/01/18,12,bagels
06/01/18,12,laundry detergent
06/01/18,12,yogurt
06/01/18,12,sugar
06/01/18,12,waffles
06/01/18,12,hand soap
06/01/18,12,hand soap
06/01/18,12,butter
06/01/18,12,juice
06/01/18,12,spaghetti sauce
06/01/18,12,flour
07/01/18,13,sugar
07/01/18,13,fruits
07/01/18,13,all- purpose
07/01/18,13,aluminum foil
07/01/18,13,laundry detergent
07/01/18,13,individual meals
07/01/18,13,flour
07/01/18,13,pork
07/01/18,13,shampoo
07/01/18,13,sugar
07/01/18,13,aluminum foil
07/01/18,13,shampoo
07/01/18,13,soap
07/01/18,13,bagels
07/01/18,13,toilet paper
07/01/18,13,juice
07/01/18,13,ice cream
07/01/18,13,ice cream
07/01/18,13,sandwich loaves
07/01/18,13,soap
07/01/18,13,sugar
07/01/18,13,paper towels
07/01/18,14,fruits
07/01/18,14,dinner rolls
07/01/18,14,individual meals
07/01/18,14,shampoo
07/01/18,14,ketchup
07/01/18,14,cereals
07/01/18,14,sandwich bags
07/01/18,14,laundry detergent
07/01/18,14,sandwich loaves
07/01/18,14,cheeses
07/01/18,15,individual meals
07/01/18,15,ice cream
07/01/18,15,cereals
07/01/18,15,paper towels
07/01/18,15,bagels
07/01/18,15,mixes
07/01/18,15,lunch meat
07/01/18,15,juice
07/01/18,15,toilet paper
